Legislation Number,URL,Congress,Title,Amends Bill,Sponsor,Date of Introduction,Latest Action,Latest Action Date,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject
H.R. 5568,https://www.congress.gov/bill/118th-congress/house-bill/5568,118th Congress (2023-2024),CARE for Moms Act,,"Kelly, Robin L. [Rep.-D-IL-2]",9/19/23,"Referred to the Committee on Energy and Commerce, and in addition to the Committees on Education and the Workforce, and Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",9/19/23,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Res. 708,https://www.congress.gov/bill/118th-congress/house-resolution/708,118th Congress (2023-2024),"Supporting the designation of the week of September 18 through September 23, 2023, as ""Malnutrition Awareness Week"".",,"Bonamici, Suzanne [Rep.-D-OR-1]",9/20/23,"Referred to the Subcommittee on Nutrition, Foreign Agriculture, and Horticulture.",9/26/23,Health,Nutrition and diet,Medical research,Health personnel,Commemorative events and holidays,Child health,Health promotion and preventive care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Res. 351,https://www.congress.gov/bill/118th-congress/house-resolution/351,118th Congress (2023-2024),"Recognizing the impact the stigmatization of menstruation has on the lives of women, girls, and people who menstruate, and expressing support for the designation of the month of May as ""National Menstrual Health Awareness Month"".",,"Meng, Grace [Rep.-D-NY-6]",5/2/23,Referred to the Subcommittee on Health.,5/5/23,Health,Women's health,Medical research,Medical education,Health promotion and preventive care,Health care coverage and access,Sex and reproductive health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 5769,https://www.congress.gov/bill/118th-congress/house-bill/5769,118th Congress (2023-2024),Family Friendly Schools Act,,"Morelle, Joseph D. [Rep.-D-NY-25]",9/27/23,Referred to the House Committee on Education and the Workforce.,9/27/23,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3304,https://www.congress.gov/bill/118th-congress/house-bill/3304,118th Congress (2023-2024),Maternal Health Pandemic Response Act,,"Underwood, Lauren [Rep.-D-IL-14]",5/15/23,Referred to the Subcommittee on Health.,5/19/23,Health,Government information and archives,Child health,Computers and information technology,Domestic violence and child abuse,Health facilities and institutions,Health information and medical records,Health personnel,Health promotion and preventive care,"Health technology, devices, supplies",Infectious and parasitic diseases,Medical research,Medical tests and diagnostic methods,Mental health,Minority health,Research administration and funding,Sex and reproductive health,Women's health,Cardiovascular and respiratory health,Advisory bodies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Res. 735,https://www.congress.gov/bill/118th-congress/house-resolution/735,118th Congress (2023-2024),Requesting information on Azerbaijan's human rights practices pursuant to section 502B(c) of the Foreign Assistance Act of 1961.,,"Schiff, Adam B. [Rep.-D-CA-30]",9/27/23,Referred to the House Committee on Foreign Affairs.,9/27/23,International Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 5705,https://www.congress.gov/bill/118th-congress/house-bill/5705,118th Congress (2023-2024),AACCENT Act,,"Dingell, Debbie [Rep.-D-MI-6]",9/26/23,"Referred to the Subcommittee on Economic Development, Public Buildings, and Emergency Management.",9/27/23,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Res. 338,https://www.congress.gov/bill/118th-congress/house-resolution/338,118th Congress (2023-2024),"Expressing support for the designation of April 30, 2023, as ""National Adult Hepatitis B Vaccination Awareness Day"".",,"Johnson, Henry C. ""Hank,"" Jr. [Rep.-D-GA-4]",4/28/23,Referred to the Subcommittee on Health.,5/5/23,Health,Health promotion and preventive care,Commemorative events and holidays,Infectious and parasitic diseases,Immunology and vaccination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3596,https://www.congress.gov/bill/118th-congress/house-bill/3596,118th Congress (2023-2024),Protecting our Students in Schools Act of 2023,,"Bonamici, Suzanne [Rep.-D-OR-1]",5/23/23,"Referred to the Committee on Education and the Workforce, and in addition to the Committee on Armed Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",5/23/23,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 5010,https://www.congress.gov/bill/118th-congress/house-bill/5010,118th Congress (2023-2024),Recognizing Gun Violence as a Public Health Emergency Act,,"Kelly, Robin L. [Rep.-D-IL-2]",7/27/23,Referred to the House Committee on Energy and Commerce.,7/27/23,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Res. 608,https://www.congress.gov/bill/118th-congress/house-resolution/608,118th Congress (2023-2024),"Recognizing the importance of diversity, equity, and inclusion efforts in higher education.",,"Veasey, Marc A. [Rep.-D-TX-33]",7/20/23,Referred to the House Committee on Education and the Workforce.,7/20/23,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Res. 330,https://www.congress.gov/bill/118th-congress/house-resolution/330,118th Congress (2023-2024),"Supporting the designation of the week of April 23 through April 29, 2023, as ""National Crime Victims' Rights Week"".",,"D'Esposito, Anthony [Rep.-R-NY-4]",4/26/23,Referred to the House Committee on the Judiciary.,4/26/23,Crime and Law Enforcement,Commemorative events and holidays,Community life and organization,Congressional tributes,Crime victims,Law enforcement administration and funding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 6269,https://www.congress.gov/bill/118th-congress/house-bill/6269,118th Congress (2023-2024),Headstones for Honor Act,,"Horsford, Steven [Rep.-D-NV-4]",11/7/23,Referred to the House Committee on Veterans' Affairs.,11/7/23,Armed Forces and National Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 1050,https://www.congress.gov/bill/118th-congress/house-bill/1050,118th Congress (2023-2024),Data Science and Literacy Act of 2023,,"Stevens, Haley M. [Rep.-D-MI-11]",2/14/23,Referred to the House Committee on Education and the Workforce.,2/14/23,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3620,https://www.congress.gov/bill/118th-congress/house-bill/3620,118th Congress (2023-2024),Cosmetic Safety for Communities of Color and Professional Salon Workers Act of 2023,,"Schakowsky, Janice D. [Rep.-D-IL-9]",5/24/23,Referred to the Subcommittee on Health.,5/26/23,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Res. 218,https://www.congress.gov/bill/118th-congress/house-resolution/218,118th Congress (2023-2024),Commemorating the life and legacy of labor pioneer Kate Mullany in honor of Women's History Month.,,"Tonko, Paul [Rep.-D-NY-20]",3/9/23,Referred to the House Committee on Education and the Workforce.,3/9/23,"Civil Rights and Liberties, Minority Issues",Women's employment,Wages and earnings,U.S. history,Labor-management relations,Employment discrimination and employee rights,Congressional tributes,Women's rights,Worker safety and health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Res. 21,https://www.congress.gov/bill/118th-congress/house-resolution/21,118th Congress (2023-2024),Commemorating the life and legacy of Sojourner Truth.,,"Jackson Lee, Sheila [Rep.-D-TX-18]",1/11/23,Referred to the House Committee on the Judiciary.,1/11/23,Racial and ethnic relations,Women's rights,U.S. history,Human rights,Congressional tributes,"Civil Rights and Liberties, Minority Issues",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3138,https://www.congress.gov/bill/118th-congress/house-bill/3138,118th Congress (2023-2024),"To amend the Elementary and Secondary Education Act of 1965 to provide for additional activities, resources, and data collection with respect to English learners, and for other purposes.",,"Espaillat, Adriano [Rep.-D-NY-13]",5/9/23,Referred to the House Committee on Education and the Workforce.,5/9/23,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Res. 865,https://www.congress.gov/bill/118th-congress/house-resolution/865,118th Congress (2023-2024),"Honoring the heroic military service, sacrifices, and contributions of veterans from the great State of Texas.",,"Crockett, Jasmine [Rep.-D-TX-30]",11/13/23,Referred to the House Committee on Veterans' Affairs.,11/13/23,Armed Forces and National Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 1263,https://www.congress.gov/bill/118th-congress/house-bill/1263,118th Congress (2023-2024),Transformation to Competitive Integrated Employment Act,,"Scott, Robert C. ""Bobby"" [Rep.-D-VA-3]",2/28/23,Referred to the House Committee on Education and the Workforce.,2/28/23,Labor and Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 832,https://www.congress.gov/bill/118th-congress/house-bill/832,118th Congress (2023-2024),Giving Disadvantaged Businesses Opportunities for Success Act,,"Garcia, Jesus G. ""Chuy"" [Rep.-D-IL-4]",2/6/23,"Referred to the Subcommittee on Railroads, Pipelines, and Hazardous Materials.",2/7/23,Commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 5307,https://www.congress.gov/bill/118th-congress/house-bill/5307,118th Congress (2023-2024),STOP Bullying Act,,"Krishnamoorthi, Raja [Rep.-D-IL-8]",8/29/23,Referred to the House Committee on Education and the Workforce.,8/29/23,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3659,https://www.congress.gov/bill/118th-congress/house-bill/3659,118th Congress (2023-2024),EQUIP Act of 2023,,"Bonamici, Suzanne [Rep.-D-OR-1]",5/25/23,Referred to the Subcommittee on Health.,5/26/23,Health,Women's health,Health promotion and preventive care,Family planning and birth control,Health programs administration and funding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4534,https://www.congress.gov/bill/118th-congress/house-bill/4534,118th Congress (2023-2024),Women and Lung Cancer Research and Preventive Services Act of 2023,,"Boyle, Brendan F. [Rep.-D-PA-2]",7/11/23,Referred to the Subcommittee on Health.,7/14/23,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 6202,https://www.congress.gov/bill/118th-congress/house-bill/6202,118th Congress (2023-2024),Counseling Not Criminalization in Schools Act,,"Pressley, Ayanna [Rep.-D-MA-7]",11/2/23,"Referred to the Committee on Education and the Workforce, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",11/2/23,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 5606,https://www.congress.gov/bill/118th-congress/house-bill/5606,118th Congress (2023-2024),Future Generations Protection Act,,"Schakowsky, Janice D. [Rep.-D-IL-9]",9/20/23,"Referred to the Committee on Energy and Commerce, and in addition to the Committees on Natural Resources, and Foreign Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",9/20/23,Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4538,https://www.congress.gov/bill/118th-congress/house-bill/4538,118th Congress (2023-2024),BLUE Pacific Act,,"Case, Ed [Rep.-D-HI-1]",7/11/23,"Referred to the Committee on Foreign Affairs, and in addition to the Committees on Natural Resources, and Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",7/11/23,International Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Res. 595,https://www.congress.gov/bill/118th-congress/house-resolution/595,118th Congress (2023-2024),"Recognizing the significant impact and legacy of Cecil Corbin-Mark in the environmental justice community and further recognizing that climate change most severely impacts vulnerable and disadvantaged communities in the United States and around the world, and that it is the responsibility of the United States Government to work with its global partners to promote environmental justice.",,"Espaillat, Adriano [Rep.-D-NY-13]",7/17/23,Referred to the House Committee on Foreign Affairs.,7/17/23,Environmental Protection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 5816,https://www.congress.gov/bill/118th-congress/house-bill/5816,118th Congress (2023-2024),Eviction Protection Act of 2023,,"Schiff, Adam B. [Rep.-D-CA-30]",9/28/23,Referred to the House Committee on Financial Services.,9/28/23,Housing and Community Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4405,https://www.congress.gov/bill/118th-congress/house-bill/4405,118th Congress (2023-2024),Endowment Transparency Act,,"Cleaver, Emanuel [Rep.-D-MO-5]",6/30/23,"Referred to the Committee on Financial Services, and in addition to the Committee on Education and the Workforce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",6/30/23,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 1495,https://www.congress.gov/bill/118th-congress/house-bill/1495,118th Congress (2023-2024),Precision Agriculture Loan Program Act of 2023,,"Feenstra, Randy [Rep.-R-IA-4]",3/9/23,"Referred to the Subcommittee on Conservation, Research, and Biotechnology.",4/5/23,Agriculture and Food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3612,https://www.congress.gov/bill/118th-congress/house-bill/3612,118th Congress (2023-2024),No ESG at TSP Act,,"Roy, Chip [Rep.-R-TX-21]",5/23/23,Referred to the House Committee on Oversight and Accountability.,5/23/23,Government Operations and Politics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3806,https://www.congress.gov/bill/118th-congress/house-bill/3806,118th Congress (2023-2024),LISTOS Act,,"Cárdenas, Tony [Rep.-D-CA-29]",6/5/23,Referred to the Subcommittee on Communications and Technology.,6/9/23,Commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 1114,https://www.congress.gov/bill/118th-congress/house-bill/1114,118th Congress (2023-2024),Long COVID RECOVERY NOW Act,,"Blunt Rochester, Lisa [Rep.-D-DE-At Large]",2/21/23,Referred to the Subcommittee on Health.,3/3/23,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3547,https://www.congress.gov/bill/118th-congress/house-bill/3547,118th Congress (2023-2024),Doxing Threat Assessment Act,,"Wasserman Schultz, Debbie [Rep.-D-FL-25]",5/18/23,"Referred to the Subcommittee on Counterterrorism, Law Enforcement, and Intelligence.",5/18/23,"Science, Technology, Communications",Emergency Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
