,match_no_punct,def_no_punct
194,biological sex means,biological sex.--the term   biological sex means the biological indicators of male or female in the context of reproductive potential or capacity such as sex chromosomes naturally occurring sex hormones gonads and non ambiguous internal and external genitalia present at birth without regard to an individual s psychological chosen or subjective experience of gender.(2
195,gender means,gender.--the term   gender means the psychological behavioral social and cultural aspects of being male or female.(3 school employee.--the term   school employee includes--(a a teacher substitute teacher school administrator school superintendent guidance counselor psychologist social worker nurse physician school paraprofessional or coach employed by a public elementary or secondary school or local educational agency in a state;(b an individual associated with the administration or financing of an extracurricular activity hosted by or at a public elementary or secondary school or(c any other individual who in the performance of his or her duties has regular contact with students under the age of 18 years old and who provides services to or on behalf of such students enrolled in a public elementary or secondary school pursuant to a contract with the public elementary or secondary school state educational agency or local educational agency.(4 state.--the term   state means each of the several states the district of columbia and any commonwealth territory or possession of the united states
196,gender transition procedure means,in general.--the term  gender transition procedure means any medical or surgical service which seeks to alter or remove physiological or anatomical characteristics or features which are typical for the individual s biological sex or to instill or create physiological or anatomical characteristics which resemble a sex different from the individual s birth sex for the purpose of gender transition including--(i physician s services and inpatient and outpatient hospital services including gender transition surgery and(ii prescribed drugs related to gender transition including puberty blocking drugs cross sex hormones or other mechanisms to promote the development of feminizing or masculinizing features in the opposite sex).(ii exceptions.--such term does not include--(i services for treatment of a medically verifiable disorder of sex development including--(aa external biological sex characteristics which are irresolvably ambiguous such as the presence of 46 xx chromosomes with virilization 46 xy chromosomes with undervirilization or both ovarian and testicular tissue or(bb other physician diagnosed disorder of sexual development with respect to which the physician has determined through genetic or biochemical testing that the individual does not have normal sex chromosome structure sex steroid hormone production or sex steroid hormone action for a biological male or biological female or(ii treatment of any infection injury disease or disorder caused or exacerbated by the performance of any gender transition procedure whether or not the gender transition procedure was performed in accordance with state and federal law or whether not a deduction for expenses in connection with the gender transition procedure is allowable under this chapter
197,gender means,gender.--the term  gender means the psychological behavioral social and cultural aspects of being male or female
198,gender transition means,gender transition.--the term  gender transition means the process in which an individual goes from identifying with and living as a gender that corresponds to his or her biological sex to identifying with and living as a gender different from his or her biological sex and may involve social legal or physical changes
199,gender transition surgery means,in general.--the term  gender transition surgery means any surgical service including genital or non genital surgery performed for the purpose of assisting an individual with a gender transition
200,-sex hormones means,hormones.--the term  cross sex hormones means testosterone or other androgens given to biological females at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological females and estrogen given to biological males at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological males
201,sex hormones means,hormones.--the term  cross sex hormones means testosterone or other androgens given to biological females at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological females and estrogen given to biological males at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological males
202,cross sex hormones means,hormones.--the term  cross sex hormones means testosterone or other androgens given to biological females at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological females and estrogen given to biological males at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological males
203,sex means,biological sex.--the term   biological sex means the biological indication of male or female in the context of reproductive potential or capacity including sex chromosomes naturally occurring sex hormones gonads and nonambiguous internal and external genitalia present at birth.(3 esea terms.--the terms   elementary school and   parent have the meanings given such terms in section 8101 of the elementary and secondary education act of 1965 20 u.s.c. 7801).(4
204,biological sex means,biological sex.--the term   biological sex means the biological indication of male or female in the context of reproductive potential or capacity including sex chromosomes naturally occurring sex hormones gonads and nonambiguous internal and external genitalia present at birth.(3 esea terms.--the terms   elementary school and   parent have the meanings given such terms in section 8101 of the elementary and secondary education act of 1965 20 u.s.c. 7801).(4
205,gender identity means,gender identity.--the term   gender identity means an individual s perception of their own gender or claimed gender regardless of the biological sex of the individual.(5 lesson.--the term   lesson means a planned and structured period of learning.(6 secretary.--the term   secretary means the secretary of education.(7
206,orientation means,sexual orientation.--the term   sexual orientation means an individual s actual or perceived romantic physical or sexual attraction to other individuals or lack thereof on the basis of gender.(8 transgender individual.--the term   transgender individual means an individual whose gender identity or behavior does not conform to that typically associated with the biological sex of the individual.(9 transgender studies.--the term   transgender studies means the study of transgender individuals
207,transgender individual means,sexual orientation.--the term   sexual orientation means an individual s actual or perceived romantic physical or sexual attraction to other individuals or lack thereof on the basis of gender.(8 transgender individual.--the term   transgender individual means an individual whose gender identity or behavior does not conform to that typically associated with the biological sex of the individual.(9 transgender studies.--the term   transgender studies means the study of transgender individuals
208,transgender studies means,sexual orientation.--the term   sexual orientation means an individual s actual or perceived romantic physical or sexual attraction to other individuals or lack thereof on the basis of gender.(8 transgender individual.--the term   transgender individual means an individual whose gender identity or behavior does not conform to that typically associated with the biological sex of the individual.(9 transgender studies.--the term   transgender studies means the study of transgender individuals
209,gender affirming care means,in general.--for purposes of this chapter except as provided in subparagraph b the term  gender affirming care means with respect to an individual any of the following:(i
210,sex means,biological sex.--the term  biological sex means the indication of male or female sex by reproductive potential or capacity sex chromosomes naturally occurring sex hormones gonads or internal or external genitalia present at birth
211,biological sex means,biological sex.--the term  biological sex means the indication of male or female sex by reproductive potential or capacity sex chromosomes naturally occurring sex hormones gonads or internal or external genitalia present at birth
212,-sex hormones means,hormones.--the term   cross sex hormones means testosterone or other androgens given to biological females at doses that are profoundly larger or more potent than would normally occur naturally in healthy biological females or estrogen given to biological males at doses that are profoundly larger or more potent than would normally occur naturally in healthy biological males.(2 gender.--the term   gender means the psychological behavioral social and cultural aspects of being male or female.(3
213,sex hormones means,hormones.--the term   cross sex hormones means testosterone or other androgens given to biological females at doses that are profoundly larger or more potent than would normally occur naturally in healthy biological females or estrogen given to biological males at doses that are profoundly larger or more potent than would normally occur naturally in healthy biological males.(2 gender.--the term   gender means the psychological behavioral social and cultural aspects of being male or female.(3
214,cross sex hormones means,hormones.--the term   cross sex hormones means testosterone or other androgens given to biological females at doses that are profoundly larger or more potent than would normally occur naturally in healthy biological females or estrogen given to biological males at doses that are profoundly larger or more potent than would normally occur naturally in healthy biological males.(2 gender.--the term   gender means the psychological behavioral social and cultural aspects of being male or female.(3
215,gender means,hormones.--the term   cross sex hormones means testosterone or other androgens given to biological females at doses that are profoundly larger or more potent than would normally occur naturally in healthy biological females or estrogen given to biological males at doses that are profoundly larger or more potent than would normally occur naturally in healthy biological males.(2 gender.--the term   gender means the psychological behavioral social and cultural aspects of being male or female.(3
216,gender dysphoria means,gender dysphoria.--the term   gender dysphoria means a marked incongruence between one s experienced or expressed gender and biological sex.(4 gender transition.--the term   gender transition means the process by which a person goes from identifying with and living as a gender that corresponds to his or her biological sex to identifying with and living as a gender different from his or her biological sex and may involve social legal or physical changes.(5
217,gender transition means,gender dysphoria.--the term   gender dysphoria means a marked incongruence between one s experienced or expressed gender and biological sex.(4 gender transition.--the term   gender transition means the process by which a person goes from identifying with and living as a gender that corresponds to his or her biological sex to identifying with and living as a gender different from his or her biological sex and may involve social legal or physical changes.(5
218,gender transition surgery means,gender transition surgery.--the term   gender transition surgery means any medical or surgical service that seeks to surgically alter or remove healthy physical or anatomical characteristics or features that are typical for the individual s biological sex in order to instill or create physiological or anatomical characteristics that resemble a sex different from the individual s birth sex including genital or non genital gender reassignment surgery performed for the purpose of assisting an individual with a gender transition.(7 genital gender transition surgery.--the term   genital gender transition surgery includes surgical procedures such as penectomy orchiectomy vaginoplasty clitoroplasty or vulvoplasty for biologically male patients or hysterectomy ovariectomy reconstruction of the fixed part of the urethra with or without a metoidioplasty or a phalloplasty vaginectomy scrotoplasty or implantation of erection or testicular prostheses for biologically female patients when performed for the purpose of assisting an individual with a gender transition.(8 non genital gender transition surgery.--the term   non genital gender transition surgery--(a includes when performed for the purpose of assisting an individual with a gender transition--(i surgical procedures such as augmentation mammoplasty facial feminization surgery liposuction lipofilling voice surgery thyroid cartilage reduction gluteal augmentation implants or lipofilling hair reconstruction or various aesthetic procedures for biologically male patients or(ii subcutaneous mastectomy voice surgery liposuction lipofilling pectoral implants or various aesthetic procedures for biologically female patients and(b does not include any procedure undertaken because the individual suffers from a physical disorder physical injury or physical illness that would as certified by a physician place the individual in imminent danger of death or impairment of major bodily function unless surgery is performed unless the procedure is for the purpose of a gender transition.(9 puberty blocking drugs.--the term   puberty blocking drugs means when used to delay or suppress pubertal development in children for the purpose of assisting an individual with a gender transition--(a gonadotropin releasing hormone gnrh analogues or other synthetic drugs used in biological males to stop luteinizing hormone secretion and therefore testosterone secretion and(b synthetic drugs used in biological females that stop the production of estrogen and progesterone.(10
219,gender transition surgery includes,gender transition surgery.--the term   gender transition surgery means any medical or surgical service that seeks to surgically alter or remove healthy physical or anatomical characteristics or features that are typical for the individual s biological sex in order to instill or create physiological or anatomical characteristics that resemble a sex different from the individual s birth sex including genital or non genital gender reassignment surgery performed for the purpose of assisting an individual with a gender transition.(7 genital gender transition surgery.--the term   genital gender transition surgery includes surgical procedures such as penectomy orchiectomy vaginoplasty clitoroplasty or vulvoplasty for biologically male patients or hysterectomy ovariectomy reconstruction of the fixed part of the urethra with or without a metoidioplasty or a phalloplasty vaginectomy scrotoplasty or implantation of erection or testicular prostheses for biologically female patients when performed for the purpose of assisting an individual with a gender transition.(8 non genital gender transition surgery.--the term   non genital gender transition surgery--(a includes when performed for the purpose of assisting an individual with a gender transition--(i surgical procedures such as augmentation mammoplasty facial feminization surgery liposuction lipofilling voice surgery thyroid cartilage reduction gluteal augmentation implants or lipofilling hair reconstruction or various aesthetic procedures for biologically male patients or(ii subcutaneous mastectomy voice surgery liposuction lipofilling pectoral implants or various aesthetic procedures for biologically female patients and(b does not include any procedure undertaken because the individual suffers from a physical disorder physical injury or physical illness that would as certified by a physician place the individual in imminent danger of death or impairment of major bodily function unless surgery is performed unless the procedure is for the purpose of a gender transition.(9 puberty blocking drugs.--the term   puberty blocking drugs means when used to delay or suppress pubertal development in children for the purpose of assisting an individual with a gender transition--(a gonadotropin releasing hormone gnrh analogues or other synthetic drugs used in biological males to stop luteinizing hormone secretion and therefore testosterone secretion and(b synthetic drugs used in biological females that stop the production of estrogen and progesterone.(10
220,gender transition surgery--(a includes,gender transition surgery.--the term   gender transition surgery means any medical or surgical service that seeks to surgically alter or remove healthy physical or anatomical characteristics or features that are typical for the individual s biological sex in order to instill or create physiological or anatomical characteristics that resemble a sex different from the individual s birth sex including genital or non genital gender reassignment surgery performed for the purpose of assisting an individual with a gender transition.(7 genital gender transition surgery.--the term   genital gender transition surgery includes surgical procedures such as penectomy orchiectomy vaginoplasty clitoroplasty or vulvoplasty for biologically male patients or hysterectomy ovariectomy reconstruction of the fixed part of the urethra with or without a metoidioplasty or a phalloplasty vaginectomy scrotoplasty or implantation of erection or testicular prostheses for biologically female patients when performed for the purpose of assisting an individual with a gender transition.(8 non genital gender transition surgery.--the term   non genital gender transition surgery--(a includes when performed for the purpose of assisting an individual with a gender transition--(i surgical procedures such as augmentation mammoplasty facial feminization surgery liposuction lipofilling voice surgery thyroid cartilage reduction gluteal augmentation implants or lipofilling hair reconstruction or various aesthetic procedures for biologically male patients or(ii subcutaneous mastectomy voice surgery liposuction lipofilling pectoral implants or various aesthetic procedures for biologically female patients and(b does not include any procedure undertaken because the individual suffers from a physical disorder physical injury or physical illness that would as certified by a physician place the individual in imminent danger of death or impairment of major bodily function unless surgery is performed unless the procedure is for the purpose of a gender transition.(9 puberty blocking drugs.--the term   puberty blocking drugs means when used to delay or suppress pubertal development in children for the purpose of assisting an individual with a gender transition--(a gonadotropin releasing hormone gnrh analogues or other synthetic drugs used in biological males to stop luteinizing hormone secretion and therefore testosterone secretion and(b synthetic drugs used in biological females that stop the production of estrogen and progesterone.(10
221,gender of an individual means,in general.--the secretary of state may not issue any passport that contains a gender designation other than   male or   female and may permit applicants for passports to select between such designations only the designation that matches the biological gender of the applicant.(b definition of biological gender.--for purposes of the prohibition in this section the biological gender of an individual means the biological classification of the individual as of the male or female sex in the context of reproductive potential or capacity as indicated by sex chromosomes naturally occurring sex hormones gonads and nonambiguous internal and external genitalia present at birth
222,sex means,biological sex.--the term  biological sex means the biological indication of male and female in the context of reproductive potential or capacity such as sex chromosomes naturally occurring sex hormones gonads and nonambiguous internal and external genitalia present at birth without regard to the psychological chosen or subjective experience of the gender of an individual
223,biological sex means,biological sex.--the term  biological sex means the biological indication of male and female in the context of reproductive potential or capacity such as sex chromosomes naturally occurring sex hormones gonads and nonambiguous internal and external genitalia present at birth without regard to the psychological chosen or subjective experience of the gender of an individual
224,gender means,gender.--the term  gender means the psychological behavioral social and cultural aspects of being male or female
225,gender transition means,gender transition.--the term  gender transition means the process in which an individual goes from identifying with and living as a gender that corresponds to his or her biological sex to identifying with and living as a gender different from his or her biological sex and may involve social legal or physical changes
226,gender transition procedure means,in general.--the term  gender transition procedure means any medical or surgical service that seeks--(i to alter or remove physical or anatomical characteristics or features that are typical for the individual s biological sex or(ii to instill or create physiological or anatomical characteristics that resemble a sex different from the individual s birth sex
227,gender transition surgery means,in general.--the term  gender transition surgery means any medical or surgical service that seeks to surgically alter or remove healthy physical or anatomical characteristics or features that are typical for the individual s biological sex in order to instill or create physiological or anatomical characteristics that resemble a sex different from the individual s birth sex
228,gender transition surgery includes,inclusions.--the term  gender transition surgery includes genital gender transition surgery and non genital gender transition surgery
229,gender transition surgery means,genital gender transition surgery.--the term  genital gender transition surgery means a surgical procedure performed for the purpose of assisting an individual with a gender transition including--(a for biologically male patients a penectomy orchiectomy vaginoplasty clitoroplasty and vulvoplasty and(b for biologically female patients a hysterectomy ovariectomy reconstruction of the fixed part of the urethra with or without a metoidioplasty or a phalloplasty vaginectomy scrotoplasty and implantation of erection or testicular prostheses
230,gender transition surgery means,minor.--the term  minor means an individual under the age of 18.(9 non genital gender transition surgery.--the term  non genital gender transition surgery means a surgical procedure performed for the purpose of assisting an individual with a gender transition including--(a for biologically male patients augmentation mammoplasty facial feminization surgery liposuction lipofilling voice surgery thyroid cartilage reduction gluteal augmentation implants lipofilling hair reconstruction and various aesthetic procedures and(b for biologically female patients subcutaneous mastectomy voice surgery liposuction lipofilling pectoral implants and various aesthetic procedures
231,gender neutral language means,amendment of nonpositive law titles.--the law revision counsel of the house of representatives shall pursuant to subsection a draft a bill to amend the titles of the united states code that have not yet been enacted into positive law for the purpose of striking masculine pronouns and nouns and inserting gender neutral language in each case in which such amendments conform to the understood policy intent and purpose of the congress in the original enactments.(d gender neutral language defined.--the term   gender neutral language means language that expressly or implicitly refers to all genders without distinction between such genders and does not expressly or implicitly refer to a gender to the real or apparent exclusion of any other gender
232,sex means,sex.--the term   sex means the indication of male or female based solely an individual s reproductive biology and genetics at birth such as sex chromosomes naturally occurring sex hormones gonads or internal or external genitalia without regard to an individual s psychological chosen or subjective identity
233,sex includes,congress reaffirmed in the pregnancy discrimination act of 1978 that discrimination on the basis of   sex includes but is not limited to discrimination on the basis of   pregnancy childbirth or related medical conditions .(13
234,gender identity means,gender identity.--the term  gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth
235,orientation means,sexual orientation.--the term  sexual orientation means an individual s actual or perceived romantic physical or sexual attraction to other persons or lack thereof that includes heterosexuality homosexuality and bisexuality
236,orientation includes,  aa  sexual orientation includes homosexuality heterosexuality and bisexuality
237,orientation means,  r  sexual orientation means homosexuality heterosexuality or bisexuality ;(2 in section 804 by inserting   including sexual orientation and gender identity
238,gender identity means,gender identity.--the term   gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(3 person.--the term   person means any individual partnership corporation cooperative association or any other entity.(4
239,orientation means,sexual orientation.--the term   sexual orientation means homosexuality heterosexuality or bisexuality
240,gender identity means,gender identity.--the term   gender identity means the gender related identity appearance or mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(3 intersex.--the term   intersex means individuals born with sex characteristics including genitals gonads or chromosome patterns that vary from typical binary notions of male or female bodies and is an umbrella term used to describe a wide range of natural bodily variations.(4
241,orientation means,sexual orientation.--the term   sexual orientation means actual or perceived homosexuality heterosexuality or bisexuality
242,gender expression means,gender expression.--the term   gender expression means the expression of one s gender such as through behavior clothing haircut or voice and which may or may not conform to socially defined behaviors and characteristics typically associated with being either masculine or feminine.(7
243,gender identity means,gender identity.--the term   gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(8 inclusive.--the term   inclusive means content and skills that ensure marginalized young people are valued respected centered and supported in sex education instruction and materials.(9 institution of higher education.--the term   institution of higher education has the meaning given the term in section 101 of the higher education act of 1965 20 u.s.c. 1001).(10 interpersonal violence.--the term   interpersonal violence means abuse assault bullying dating violence domestic violence harassment intimate partner violence or stalking.(11
244,sex education means,sex education.--the term   sex education means high quality teaching and learning that--(a is delivered to the maximum extent practicable following the national sexuality education standards of the future of sex ed initiative;(b is about a broad variety of topics related to sex and sexuality including--(i puberty and adolescent development;(ii sexual and reproductive anatomy and physiology;(iii sexual orientation gender identity and gender expression;(iv contraception pregnancy pregnancy options and reproduction;(v hiv and other stis;(vi consent and healthy relationships and(vii interpersonal violence;(c explores values and beliefs about such topics and(d helps young people in gaining the skills that are needed to navigate relationships and manage one s own sexual health.(16
245,orientation means,sexual orientation.--the term   sexual orientation means an individual s romantic emotional or sexual attraction to other people.(19
246,gender identity means,the term  gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth (2
247,gender affirming care means,gender affirming care.--(a in general.--except as provided in subparagraph b the term  gender affirming care means with respect to an individual any of the following:(i
248,sex means,  c biological sex.--for purposes of subparagraph a the term  biological sex means the indication of male or female sex by reproductive potential or capacity sex chromosomes naturally occurring sex hormones gonads or internal or external genitalia present at birth
249,biological sex means,  c biological sex.--for purposes of subparagraph a the term  biological sex means the indication of male or female sex by reproductive potential or capacity sex chromosomes naturally occurring sex hormones gonads or internal or external genitalia present at birth
250,gender identity means,gender identity.--the term   gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(3 lgbtqi.--the term   lgbtqi means lesbian gay bisexual transgender queer or intersex.(4
251,orientation means,sexual orientation.--the term   sexual orientation means actual or perceived homosexuality heterosexuality or bisexuality
252,gender identity means,the term  form 10 k means the form described in section 249.310 of title 17 code of federal regulations as in effect on the date of enactment of this subsection;(e the term  gender identity means a characteristic consisting of the gender related identity appearance mannerisms or other gender related characteristics of an individual whether the characteristic is actual or perceived regardless of the designated sex of the individual at birth;(f
253,orientation means,the term  judgment means with respect to an issuer a judgment entered against the issuer whether imposed by a court or through arbitration;(g the term  settlement means any commitment or agreement--(i without regard to whether the commitment or agreement as applicable is in writing and(ii under which an issuer directly or indirectly--(i provides to an individual compensation or other consideration because of an allegation that the individual has been a victim of covered harassment covered discrimination or sexual abuse or(ii establishes conditions that affect the terms of the employment including by terminating the employment of the individual with the issuer--(aa because of the experience of the individual with or the participation of the individual in an alleged act of covered harassment covered discrimination or sexual abuse and(bb in exchange for which the individual agrees or commits not to--(aa bring legal administrative or any other type of action against the issuer or(bb publicly disclose for a period of time of any length any portion of the alleged act described in item aa on which the commitment or agreement as applicable is based;(h the term  sexual abuse means a nonconsensual sexual act or sexual contact as such terms are defined in section 2246 of title 18 united states code or similar applicable tribal or state law including such an act or contact in a circumstance in which the victim lacks capacity to consent and(i the term  sexual orientation means a characteristic consisting of homosexuality heterosexuality or bisexuality whether the characteristic is actual or perceived (2
254,gender identity means,gender identity.--the term   gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the designated sex at birth of the individual.(12 informal removal.--the term   informal removal means an administrative removal of a student from the learning environment for part or all of the school day or an indefinite period of time without documenting the removal as a suspension or expulsion or engaging in formalized disciplinary processes.(13
255,orientation means,sexual orientation.--the term   sexual orientation means how a person identifies in terms of their emotional romantic or sexual attraction and includes identification as straight heterosexual gay lesbian or bisexual among other terms.(28
256,sex which includes,nondiscrimination.--no person in the united states shall on the basis of actual or perceived race color religion national origin sex which includes sexual orientation gender identity pregnancy childbirth medical conditions related to pregnancy or childbirth or sex stereotypes or disability be excluded from participation in be denied the benefits of or be subjected to discrimination under any program or activity funded in whole or in part with funds made available under this title or with amounts appropriated for grants contracts or certificates similar to a child care certificate as defined in section 658p of the child care and development block grant act of 1990 42 u.s.c. 9858n administered with such funds.(b enforcement.--subsection a shall be enforced in the same manner and by the same means as if such subsection was incorporated in title vi of the civil rights act of 1964 42 u.s.c. 2000d et seq and as if a violation of subsection a was treated as if it was a violation of section 601 of such act 42 u.s.c. 2000d).(c
257,sex which includes,nondiscrimination.--no person in the united states shall on the basis of actual or perceived race color religion national origin sex which includes sexual orientation gender identity pregnancy childbirth medical conditions related to pregnancy or childbirth or sex stereotypes or disability be excluded from participation in be denied the benefits of or be subjected to discrimination under any program or activity funded in whole or in part with funds made available under this title or with amounts appropriated for grants contracts or certificates similar to a child care certificate as defined in section 658p of the child care and development block grant act of 1990 42 u.s.c. 9858n administered with such funds.(b enforcement.--subsection a shall be enforced in the same manner and by the same means as if such subsection was incorporated in title vi of the civil rights act of 1964 42 u.s.c. 2000d et seq and as if a violation of subsection a was treated as if it was a violation of section 601 of such act 42 u.s.c. 2000d).(c
258,sex includes,the term   discrimination on the basis of sex includes discrimination on the basis of sex stereotypes sex characteristics pregnancy or related conditions sexual orientation and gender identity.(3
259,biological man means,biological man.--the term   biological man means an individual who is recognized as a male on the date of the birth of such individual based on the genetic and reproductive biological characteristics of such individual.(2 biological sex.--the term   biological sex means the sex recognized on the date of birth of the individual based on the genetic and reproductive biological characteristics of such individual.(3 biological woman.--the term   biological woman means an individual who is recognized as a female on the date of the birth of such individual based on the genetic and reproductive biological characteristics of such individual.(4 covered school.--the term   covered school means an elementary school or secondary school as such terms are defined in section 8101 of the elementary and secondary education act of 1965 20 u.s.c. 7801).(5 obscene material.--the term   obscene material means material that considered as a whole--(a appeals to--(i
260,sex means,biological man.--the term   biological man means an individual who is recognized as a male on the date of the birth of such individual based on the genetic and reproductive biological characteristics of such individual.(2 biological sex.--the term   biological sex means the sex recognized on the date of birth of the individual based on the genetic and reproductive biological characteristics of such individual.(3 biological woman.--the term   biological woman means an individual who is recognized as a female on the date of the birth of such individual based on the genetic and reproductive biological characteristics of such individual.(4 covered school.--the term   covered school means an elementary school or secondary school as such terms are defined in section 8101 of the elementary and secondary education act of 1965 20 u.s.c. 7801).(5 obscene material.--the term   obscene material means material that considered as a whole--(a appeals to--(i
261,biological sex means,biological man.--the term   biological man means an individual who is recognized as a male on the date of the birth of such individual based on the genetic and reproductive biological characteristics of such individual.(2 biological sex.--the term   biological sex means the sex recognized on the date of birth of the individual based on the genetic and reproductive biological characteristics of such individual.(3 biological woman.--the term   biological woman means an individual who is recognized as a female on the date of the birth of such individual based on the genetic and reproductive biological characteristics of such individual.(4 covered school.--the term   covered school means an elementary school or secondary school as such terms are defined in section 8101 of the elementary and secondary education act of 1965 20 u.s.c. 7801).(5 obscene material.--the term   obscene material means material that considered as a whole--(a appeals to--(i
262,biological woman means,biological man.--the term   biological man means an individual who is recognized as a male on the date of the birth of such individual based on the genetic and reproductive biological characteristics of such individual.(2 biological sex.--the term   biological sex means the sex recognized on the date of birth of the individual based on the genetic and reproductive biological characteristics of such individual.(3 biological woman.--the term   biological woman means an individual who is recognized as a female on the date of the birth of such individual based on the genetic and reproductive biological characteristics of such individual.(4 covered school.--the term   covered school means an elementary school or secondary school as such terms are defined in section 8101 of the elementary and secondary education act of 1965 20 u.s.c. 7801).(5 obscene material.--the term   obscene material means material that considered as a whole--(a appeals to--(i
263,sex means,the term  sex means sex determined solely by a person s reproductive biology and genetics at birth and(2 the term  sex segregated means limited to or separated by sex
264,sex segregated means,the term  sex means sex determined solely by a person s reproductive biology and genetics at birth and(2 the term  sex segregated means limited to or separated by sex
265,sex means,biological sex.--the term  biological sex means the biological indication of male or female in the context of reproductive potential or capacity such as sex chromosomes naturally occurring sex hormones gonads and non ambiguous internal and external genitalia present at birth without regard to an individual s psychological chosen or subjective experience of gender
266,biological sex means,biological sex.--the term  biological sex means the biological indication of male or female in the context of reproductive potential or capacity such as sex chromosomes naturally occurring sex hormones gonads and non ambiguous internal and external genitalia present at birth without regard to an individual s psychological chosen or subjective experience of gender
267,gender means,gender.--the term  gender means the psychological behavioral social and cultural aspects of being male or female
268,gender transition means,gender transition.--the term  gender transition means the process in which an individual goes from identifying with and living as a gender that corresponds to his or her biological sex to identifying with and living as a gender different from his or her biological sex and may involve social legal or physical changes
269,gender transition procedure means,in general.--the term  gender transition procedure means any medical or surgical service that seeks--(i to alter or remove physical or anatomical characteristics or features that are typical for the individual s biological sex or(ii to instill or create physiological or anatomical characteristics that resemble a sex different from the individual s birth sex
270,gender transition surgery means,in general.--the term  gender transition surgery means any medical or surgical service that seeks to surgically alter or remove healthy physical or anatomical characteristics or features that are typical for the individual s biological sex in order to instill or create physiological or anatomical characteristics that resemble a sex different from the individual s birth sex
271,gender transition surgery includes,inclusions.--the term  gender transition surgery includes genital gender transition surgery and non genital gender transition surgery
272,gender transition surgery means,genital gender transition surgery.--the term  genital gender transition surgery means a surgical procedure performed for the purpose of assisting an individual with a gender transition including--(a for biologically male patients a penectomy orchiectomy vaginoplasty clitoroplasty and vulvoplasty and(b for biologically female patients a hysterectomy ovariectomy reconstruction of the fixed part of the urethra with or without a metoidioplasty or a phalloplasty vaginectomy scrotoplasty and implantation of erection or testicular prostheses
273,gender transition surgery means,non genital gender transition surgery.--the term  non genital gender transition surgery means a surgical procedure performed for the purpose of assisting an individual with a gender transition including--(a for biologically male patients augmentation mammoplasty facial feminization surgery liposuction lipofilling voice surgery thyroid cartilage reduction gluteal augmentation implants lipofilling hair reconstruction and various aesthetic procedures and(b for biologically female patients subcutaneous mastectomy voice surgery liposuction lipofilling pectoral implants and various aesthetic procedures
274,-sex hormones means,hormones.--the term   cross sex hormones means testosterone or other androgens given to biological females at doses that are profoundly larger or more potent than would normally occur naturally in healthy biological females or estrogen given to biological males at doses that are profoundly larger or more potent than would normally occur naturally in healthy biological males.(2 gender.--the term   gender means the psychological behavioral social and cultural aspects of being male or female.(3
275,sex hormones means,hormones.--the term   cross sex hormones means testosterone or other androgens given to biological females at doses that are profoundly larger or more potent than would normally occur naturally in healthy biological females or estrogen given to biological males at doses that are profoundly larger or more potent than would normally occur naturally in healthy biological males.(2 gender.--the term   gender means the psychological behavioral social and cultural aspects of being male or female.(3
276,cross sex hormones means,hormones.--the term   cross sex hormones means testosterone or other androgens given to biological females at doses that are profoundly larger or more potent than would normally occur naturally in healthy biological females or estrogen given to biological males at doses that are profoundly larger or more potent than would normally occur naturally in healthy biological males.(2 gender.--the term   gender means the psychological behavioral social and cultural aspects of being male or female.(3
277,gender means,hormones.--the term   cross sex hormones means testosterone or other androgens given to biological females at doses that are profoundly larger or more potent than would normally occur naturally in healthy biological females or estrogen given to biological males at doses that are profoundly larger or more potent than would normally occur naturally in healthy biological males.(2 gender.--the term   gender means the psychological behavioral social and cultural aspects of being male or female.(3
278,gender dysphoria means,gender dysphoria.--the term   gender dysphoria means a marked incongruence between one s experienced or expressed gender and biological sex.(4 gender transition.--the term   gender transition means the process by which a person goes from identifying with and living as a gender that corresponds to his or her biological sex to identifying with and living as a gender different from his or her biological sex and may involve social legal or physical changes.(5
279,gender transition means,gender dysphoria.--the term   gender dysphoria means a marked incongruence between one s experienced or expressed gender and biological sex.(4 gender transition.--the term   gender transition means the process by which a person goes from identifying with and living as a gender that corresponds to his or her biological sex to identifying with and living as a gender different from his or her biological sex and may involve social legal or physical changes.(5
