,train
244,The term sex education means high quality teaching and learning that--(a is delivered to the maximum extent practicable following the national sexuality education standards of the future of sex ed initiative;(b is about a broad variety of topics related to sex and sexuality including--(i puberty and adolescent development;(ii sexual and reproductive anatomy and physiology;(iii sexual orientation gender identity and gender expression;(iv contraception pregnancy pregnancy options and reproduction;(v hiv and other stis;(vi consent and healthy relationships and(vii interpersonal violence;(c explores values and beliefs about such topics and(d helps young people in gaining the skills that are needed to navigate relationships and manage one s own sexual health.(16
245,The term orientation means an individual s romantic emotional or sexual attraction to other people.(19
246,The term gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth (2
247,The term gender affirming care means with respect to an individual any of the following:(i
248,The term sex means the indication of male or female sex by reproductive potential or capacity sex chromosomes naturally occurring sex hormones gonads or internal or external genitalia present at birth
249,The term biological sex means the indication of male or female sex by reproductive potential or capacity sex chromosomes naturally occurring sex hormones gonads or internal or external genitalia present at birth
250,The term gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(3 lgbtqi.--the term   lgbtqi means lesbian gay bisexual transgender queer or intersex.(4
251,The term orientation means actual or perceived homosexuality heterosexuality or bisexuality
252,The term gender identity means a characteristic consisting of the gender related identity appearance mannerisms or other gender related characteristics of an individual whether the characteristic is actual or perceived regardless of the designated sex of the individual at birth;(f
253,The term orientation means a characteristic consisting of homosexuality heterosexuality or bisexuality whether the characteristic is actual or perceived (2
254,The term gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the designated sex at birth of the individual.(12 informal removal.--the term   informal removal means an administrative removal of a student from the learning environment for part or all of the school day or an indefinite period of time without documenting the removal as a suspension or expulsion or engaging in formalized disciplinary processes.(13
255,The term orientation means how a person identifies in terms of their emotional romantic or sexual attraction and includes identification as straight heterosexual gay lesbian or bisexual among other terms.(28
256,The term sex which includes sexual orientation gender identity pregnancy childbirth medical conditions related to pregnancy or childbirth or sex stereotypes or disability be excluded from participation in be denied the benefits of or be subjected to discrimination under any program or activity funded in whole or in part with funds made available under this title or with amounts appropriated for grants contracts or certificates similar to a child care certificate as defined in section 658p of the child care and development block grant act of 1990 42 u.s.c. 9858n administered with such funds.(b enforcement.--subsection a shall be enforced in the same manner and by the same means as if such subsection was incorporated in title vi of the civil rights act of 1964 42 u.s.c. 2000d et seq and as if a violation of subsection a was treated as if it was a violation of section 601 of such act 42 u.s.c. 2000d).(c
257,The term sex which includes sexual orientation gender identity pregnancy childbirth medical conditions related to pregnancy or childbirth or sex stereotypes or disability be excluded from participation in be denied the benefits of or be subjected to discrimination under any program or activity funded in whole or in part with funds made available under this title or with amounts appropriated for grants contracts or certificates similar to a child care certificate as defined in section 658p of the child care and development block grant act of 1990 42 u.s.c. 9858n administered with such funds.(b enforcement.--subsection a shall be enforced in the same manner and by the same means as if such subsection was incorporated in title vi of the civil rights act of 1964 42 u.s.c. 2000d et seq and as if a violation of subsection a was treated as if it was a violation of section 601 of such act 42 u.s.c. 2000d).(c
258,The term sex includes discrimination on the basis of sex stereotypes sex characteristics pregnancy or related conditions sexual orientation and gender identity.(3
259,The term biological man means an individual who is recognized as a male on the date of the birth of such individual based on the genetic and reproductive biological characteristics of such individual.(2 biological sex.--the term   biological sex means the sex recognized on the date of birth of the individual based on the genetic and reproductive biological characteristics of such individual.(3 biological woman.--the term   biological woman means an individual who is recognized as a female on the date of the birth of such individual based on the genetic and reproductive biological characteristics of such individual.(4 covered school.--the term   covered school means an elementary school or secondary school as such terms are defined in section 8101 of the elementary and secondary education act of 1965 20 u.s.c. 7801).(5 obscene material.--the term   obscene material means material that considered as a whole--(a appeals to--(i
260,The term sex means the sex recognized on the date of birth of the individual based on the genetic and reproductive biological characteristics of such individual.(3 biological woman.--the term   biological woman means an individual who is recognized as a female on the date of the birth of such individual based on the genetic and reproductive biological characteristics of such individual.(4 covered school.--the term   covered school means an elementary school or secondary school as such terms are defined in section 8101 of the elementary and secondary education act of 1965 20 u.s.c. 7801).(5 obscene material.--the term   obscene material means material that considered as a whole--(a appeals to--(i
261,The term biological sex means the sex recognized on the date of birth of the individual based on the genetic and reproductive biological characteristics of such individual.(3 biological woman.--the term   biological woman means an individual who is recognized as a female on the date of the birth of such individual based on the genetic and reproductive biological characteristics of such individual.(4 covered school.--the term   covered school means an elementary school or secondary school as such terms are defined in section 8101 of the elementary and secondary education act of 1965 20 u.s.c. 7801).(5 obscene material.--the term   obscene material means material that considered as a whole--(a appeals to--(i
262,The term biological woman means an individual who is recognized as a female on the date of the birth of such individual based on the genetic and reproductive biological characteristics of such individual.(4 covered school.--the term   covered school means an elementary school or secondary school as such terms are defined in section 8101 of the elementary and secondary education act of 1965 20 u.s.c. 7801).(5 obscene material.--the term   obscene material means material that considered as a whole--(a appeals to--(i
263,The term sex means sex determined solely by a person s reproductive biology and genetics at birth and(2 the term  sex segregated means limited to or separated by sex
264,The term sex segregated means limited to or separated by sex
265,The term sex means the biological indication of male or female in the context of reproductive potential or capacity such as sex chromosomes naturally occurring sex hormones gonads and non ambiguous internal and external genitalia present at birth without regard to an individual s psychological chosen or subjective experience of gender
266,The term biological sex means the biological indication of male or female in the context of reproductive potential or capacity such as sex chromosomes naturally occurring sex hormones gonads and non ambiguous internal and external genitalia present at birth without regard to an individual s psychological chosen or subjective experience of gender
267,The term gender means the psychological behavioral social and cultural aspects of being male or female
268,The term gender transition means the process in which an individual goes from identifying with and living as a gender that corresponds to his or her biological sex to identifying with and living as a gender different from his or her biological sex and may involve social legal or physical changes
269,The term gender transition procedure means any medical or surgical service that seeks--(i to alter or remove physical or anatomical characteristics or features that are typical for the individual s biological sex or(ii to instill or create physiological or anatomical characteristics that resemble a sex different from the individual s birth sex
270,The term gender transition surgery means any medical or surgical service that seeks to surgically alter or remove healthy physical or anatomical characteristics or features that are typical for the individual s biological sex in order to instill or create physiological or anatomical characteristics that resemble a sex different from the individual s birth sex
271,The term gender transition surgery includes genital gender transition surgery and non genital gender transition surgery
272,The term gender transition surgery means a surgical procedure performed for the purpose of assisting an individual with a gender transition including--(a for biologically male patients a penectomy orchiectomy vaginoplasty clitoroplasty and vulvoplasty and(b for biologically female patients a hysterectomy ovariectomy reconstruction of the fixed part of the urethra with or without a metoidioplasty or a phalloplasty vaginectomy scrotoplasty and implantation of erection or testicular prostheses
273,The term gender transition surgery means a surgical procedure performed for the purpose of assisting an individual with a gender transition including--(a for biologically male patients augmentation mammoplasty facial feminization surgery liposuction lipofilling voice surgery thyroid cartilage reduction gluteal augmentation implants lipofilling hair reconstruction and various aesthetic procedures and(b for biologically female patients subcutaneous mastectomy voice surgery liposuction lipofilling pectoral implants and various aesthetic procedures
274,hormones.--the term   cross sex hormones means testosterone or other androgens given to biological females at doses that are profoundly larger or more potent than would normally occur naturally in healthy biological females or estrogen given to biological males at doses that are profoundly larger or more potent than would normally occur naturally in healthy biological males.(2 gender.--the term   gender means the psychological behavioral social and cultural aspects of being male or female.(3
275,The term sex hormones means testosterone or other androgens given to biological females at doses that are profoundly larger or more potent than would normally occur naturally in healthy biological females or estrogen given to biological males at doses that are profoundly larger or more potent than would normally occur naturally in healthy biological males.(2 gender.--the term   gender means the psychological behavioral social and cultural aspects of being male or female.(3
276,The term cross sex hormones means testosterone or other androgens given to biological females at doses that are profoundly larger or more potent than would normally occur naturally in healthy biological females or estrogen given to biological males at doses that are profoundly larger or more potent than would normally occur naturally in healthy biological males.(2 gender.--the term   gender means the psychological behavioral social and cultural aspects of being male or female.(3
277,The term gender means the psychological behavioral social and cultural aspects of being male or female.(3
278,The term gender dysphoria means a marked incongruence between one s experienced or expressed gender and biological sex.(4 gender transition.--the term   gender transition means the process by which a person goes from identifying with and living as a gender that corresponds to his or her biological sex to identifying with and living as a gender different from his or her biological sex and may involve social legal or physical changes.(5
279,The term gender transition means the process by which a person goes from identifying with and living as a gender that corresponds to his or her biological sex to identifying with and living as a gender different from his or her biological sex and may involve social legal or physical changes.(5
280,The term gender transition surgery means any medical or surgical service that seeks to surgically alter or remove healthy physical or anatomical characteristics or features that are typical for the individual s biological sex in order to instill or create physiological or anatomical characteristics that resemble a sex different from the individual s birth sex including genital or non genital gender reassignment surgery performed for the purpose of assisting an individual with a gender transition.(7 genital gender transition surgery.--the term   genital gender transition surgery includes surgical procedures such as penectomy orchiectomy vaginoplasty clitoroplasty or vulvoplasty for biologically male patients or hysterectomy ovariectomy reconstruction of the fixed part of the urethra with or without a metoidioplasty or a phalloplasty vaginectomy scrotoplasty or implantation of erection or testicular prostheses for biologically female patients when performed for the purpose of assisting an individual with a gender transition.(8 non genital gender transition surgery.--the term   non genital gender transition surgery--(a includes when performed for the purpose of assisting an individual with a gender transition--(i surgical procedures such as augmentation mammoplasty facial feminization surgery liposuction lipofilling voice surgery thyroid cartilage reduction gluteal augmentation implants or lipofilling hair reconstruction or various aesthetic procedures for biologically male patients or(ii subcutaneous mastectomy voice surgery liposuction lipofilling pectoral implants or various aesthetic procedures for biologically female patients and(b does not include any procedure undertaken because the individual suffers from a physical disorder physical injury or physical illness that would as certified by a physician place the individual in imminent danger of death or impairment of major bodily function unless surgery is performed unless the procedure is for the purpose of a gender transition.(9 puberty blocking drugs.--the term   puberty blocking drugs means when used to delay or suppress pubertal development in children for the purpose of assisting an individual with a gender transition--(a gonadotropin releasing hormone gnrh analogues or other synthetic drugs used in biological males to stop luteinizing hormone secretion and therefore testosterone secretion and(b synthetic drugs used in biological females that stop the production of estrogen and progesterone.(10
281,The term gender transition surgery includes surgical procedures such as penectomy orchiectomy vaginoplasty clitoroplasty or vulvoplasty for biologically male patients or hysterectomy ovariectomy reconstruction of the fixed part of the urethra with or without a metoidioplasty or a phalloplasty vaginectomy scrotoplasty or implantation of erection or testicular prostheses for biologically female patients when performed for the purpose of assisting an individual with a gender transition.(8 non genital gender transition surgery.--the term   non genital gender transition surgery--(a includes when performed for the purpose of assisting an individual with a gender transition--(i surgical procedures such as augmentation mammoplasty facial feminization surgery liposuction lipofilling voice surgery thyroid cartilage reduction gluteal augmentation implants or lipofilling hair reconstruction or various aesthetic procedures for biologically male patients or(ii subcutaneous mastectomy voice surgery liposuction lipofilling pectoral implants or various aesthetic procedures for biologically female patients and(b does not include any procedure undertaken because the individual suffers from a physical disorder physical injury or physical illness that would as certified by a physician place the individual in imminent danger of death or impairment of major bodily function unless surgery is performed unless the procedure is for the purpose of a gender transition.(9 puberty blocking drugs.--the term   puberty blocking drugs means when used to delay or suppress pubertal development in children for the purpose of assisting an individual with a gender transition--(a gonadotropin releasing hormone gnrh analogues or other synthetic drugs used in biological males to stop luteinizing hormone secretion and therefore testosterone secretion and(b synthetic drugs used in biological females that stop the production of estrogen and progesterone.(10
282,The term gender transition surgery--(a includes when performed for the purpose of assisting an individual with a gender transition--(i surgical procedures such as augmentation mammoplasty facial feminization surgery liposuction lipofilling voice surgery thyroid cartilage reduction gluteal augmentation implants or lipofilling hair reconstruction or various aesthetic procedures for biologically male patients or(ii subcutaneous mastectomy voice surgery liposuction lipofilling pectoral implants or various aesthetic procedures for biologically female patients and(b does not include any procedure undertaken because the individual suffers from a physical disorder physical injury or physical illness that would as certified by a physician place the individual in imminent danger of death or impairment of major bodily function unless surgery is performed unless the procedure is for the purpose of a gender transition.(9 puberty blocking drugs.--the term   puberty blocking drugs means when used to delay or suppress pubertal development in children for the purpose of assisting an individual with a gender transition--(a gonadotropin releasing hormone gnrh analogues or other synthetic drugs used in biological males to stop luteinizing hormone secretion and therefore testosterone secretion and(b synthetic drugs used in biological females that stop the production of estrogen and progesterone.(10
283,The term sex means the biological indication of male and female in the context of reproductive potential or capacity such as sex chromosomes naturally occurring sex hormones gonads and nonambiguous internal and external genitalia present at birth without regard to the psychological chosen or subjective experience of the gender of an individual
284,The term biological sex means the biological indication of male and female in the context of reproductive potential or capacity such as sex chromosomes naturally occurring sex hormones gonads and nonambiguous internal and external genitalia present at birth without regard to the psychological chosen or subjective experience of the gender of an individual
285,The term gender means the psychological behavioral social and cultural aspects of being male or female
286,The term gender transition means the process in which an individual goes from identifying with and living as a gender that corresponds to his or her biological sex to identifying with and living as a gender different from his or her biological sex and may involve social legal or physical changes
287,The term gender transition procedure means any medical or surgical service that seeks--(i to alter or remove physical or anatomical characteristics or features that are typical for the individual s biological sex or(ii to instill or create physiological or anatomical characteristics that resemble a sex different from the individual s birth sex
288,The term gender transition surgery means any medical or surgical service that seeks to surgically alter or remove healthy physical or anatomical characteristics or features that are typical for the individual s biological sex in order to instill or create physiological or anatomical characteristics that resemble a sex different from the individual s birth sex
289,The term gender transition surgery includes genital gender transition surgery and non genital gender transition surgery
290,The term gender transition surgery means a surgical procedure performed for the purpose of assisting an individual with a gender transition including--(a for biologically male patients a penectomy orchiectomy vaginoplasty clitoroplasty and vulvoplasty and(b for biologically female patients a hysterectomy ovariectomy reconstruction of the fixed part of the urethra with or without a metoidioplasty or a phalloplasty vaginectomy scrotoplasty and implantation of erection or testicular prostheses
291,The term gender transition surgery means a surgical procedure performed for the purpose of assisting an individual with a gender transition including--(a for biologically male patients augmentation mammoplasty facial feminization surgery liposuction lipofilling voice surgery thyroid cartilage reduction gluteal augmentation implants lipofilling hair reconstruction and various aesthetic procedures and(b for biologically female patients subcutaneous mastectomy voice surgery liposuction lipofilling pectoral implants and various aesthetic procedures
292,The term orientation includes discrimination based on an individual s actual or perceived romantic emotional physical or sexual attraction to other persons or lack thereof on the basis of gender
293,The term gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth
294,The term orientation means homosexuality heterosexuality or bisexuality
295,The term gender transition procedure means any medical or surgical service which seeks to alter or remove physiological or anatomical characteristics or features which are typical for the individual s biological sex or to instill or create physiological or anatomical characteristics which resemble a sex different from the individual s birth sex for the purpose of gender transition including--(i physician s services and inpatient and outpatient hospital services including gender transition surgery and(ii prescribed drugs related to gender transition including puberty blocking drugs cross sex hormones or other mechanisms to promote the development of feminizing or masculinizing features in the opposite sex).(ii exceptions.--such term does not include--(i services for treatment of a medically verifiable disorder of sex development including--(aa external biological sex characteristics which are irresolvably ambiguous such as presence of 46 xx chromosomes with virilization 46 xy chromosomes with undervirilization or both ovarian and testicular tissue or(bb other physician diagnosed disorder of sexual development with respect to which the physician has determined through genetic or biochemical testing that the individual does not have normal sex chromosome structure sex steroid hormone production or sex steroid hormone action for a biological male or biological female or(ii treatment of any infection injury disease or disorder caused or exacerbated by the performance of any gender transition procedure whether or not the gender transition procedure was performed in accordance with state and federal law or whether not a deduction for expenses in connection with the gender transition procedure is allowable under this chapter
296,The term gender means the psychological behavioral social and cultural aspects of being male or female
297,The term gender transition means the process in which an individual goes from identifying with and living as a gender that corresponds to his or her biological sex to identifying with and living as a gender different from his or her biological sex and may involve social legal or physical changes
298,The term gender transition surgery means any surgical service including genital or non genital surgery performed for the purpose of assisting an individual with a gender transition
299,hormones.--the term  cross sex hormones means testosterone or other androgens given to biological females at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological females and estrogen given to biological males at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological males
300,The term sex hormones means testosterone or other androgens given to biological females at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological females and estrogen given to biological males at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological males
301,The term cross sex hormones means testosterone or other androgens given to biological females at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological females and estrogen given to biological males at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological males
302,The term sex means the biological indication of male and female in the context of reproductive potential or capacity such as sex chromosomes naturally occurring sex hormones gonads and nonambiguous internal and external genitalia present at birth without regard to a person s psychological chosen or subjective experience of gender.(2
303,The term biological sex means the biological indication of male and female in the context of reproductive potential or capacity such as sex chromosomes naturally occurring sex hormones gonads and nonambiguous internal and external genitalia present at birth without regard to a person s psychological chosen or subjective experience of gender.(2
304,The term gender identity means a person s self perception of their gender or claimed gender regardless of the person s biological sex.(5
305,The term gender transition includes both medical transition and social transition.(b medical transition.--the term   medical transition means any medical or surgical intervention undertaken to alter the body of a person in order to assert an identity incongruent with biological sex or undertaken to create or facilitate the development of physiological or anatomical characteristics that resemble a sex different from the person s biological sex.(c
306,The term gender clinic means a medical facility that specializes in the diagnosis or treatment of gender discordance and gender dysphoria in minors including medical interventions such as therapeutic diagnosis of gender dysphoria and performance of or referral for gender transition procedures on minors.(b
307,The term gender identity means the gender related identity appearance mannerism or other gender related characteristic of an individual regardless of the designated sex at birth of the individual.(5 sexual orientation.--the term   sexual orientation means how a person identifies in terms of their emotional romantic or sexual attraction and includes identification as straight heterosexual gay lesbian or bisexual among other terms.(6
308,The term orientation means how a person identifies in terms of their emotional romantic or sexual attraction and includes identification as straight heterosexual gay lesbian or bisexual among other terms.(6
309,The term sex characteristics--(a means a physical trait present at birth or naturally occurring at a later time including genitals gonads hormone function and chromosome patterns that differs from normative expectations for male or female bodies regarding the development appearance or function of sex related characteristics and(b is sometimes referred to as intersex traits.(b
310,The term gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(7 national gender equity infrastructure.--the term   national gender equity infrastructure means the horizontal and vertical network of title ix coordinators and title ix allies who work to advance gender equity and eliminate discrimination in the united states.(8 secretary.--the term   secretary means the secretary of education.(9
311,The term gender equity infrastructure means the horizontal and vertical network of title ix coordinators and title ix allies who work to advance gender equity and eliminate discrimination in the united states.(8 secretary.--the term   secretary means the secretary of education.(9
312,The term orientation means homosexuality heterosexuality or bisexuality.(11
313,The term gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(3 person.--the term   person means any individual partnership corporation cooperative association or any other entity.(4
314,The term orientation means homosexuality heterosexuality or bisexuality
315,The term gender identity means the gender related identity appearance or mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(3 intersex.--the term   intersex means individuals born with sex characteristics including genitals gonads or chromosome patterns that vary from typical binary notions of male or female bodies and is an umbrella term used to describe a wide range of natural bodily variations.(4
316,The term orientation means actual or perceived homosexuality heterosexuality or bisexuality
317,The term gender expression means the expression of one s gender such as through behavior clothing haircut or voice and which may or may not conform to socially defined behaviors and characteristics typically associated with being either masculine or feminine.(6
318,The term gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(7 inclusive.--the term   inclusive means content and skills that ensure marginalized young people are valued respected centered and supported in sex education instruction and materials.(8 institution of higher education.--the term   institution of higher education has the meaning given the term in section 101 of the higher education act of 1965 20 u.s.c. 1001).(9 interpersonal violence.--the term   interpersonal violence means abuse assault bullying dating violence domestic violence harassment intimate partner violence or stalking.(10
319,The term sex education means high quality teaching and learning that--(a is delivered to the maximum extent practicable following the national sexuality education standards of the future of sex ed initiative;(b is about a broad variety of topics related to sex and sexuality including--(i puberty and adolescent development;(ii sexual and reproductive anatomy and physiology;(iii sexual orientation gender identity and gender expression;(iv contraception pregnancy pregnancy options and reproduction;(v hiv and other stis;(vi consent and healthy relationships and(vii interpersonal violence;(c explores values and beliefs about such topics and(d helps young people in gaining the skills that are needed to navigate relationships and manage one s own sexual health.(16
320,The term orientation means an individual s romantic emotional or sexual attraction to other people.(18
321,The term sex means the indication of male or female sex by reproductive potential or capacity sex chromosomes naturally occurring sex hormones gonads or internal or external genitalia present at birth
322,The term biological sex means the indication of male or female sex by reproductive potential or capacity sex chromosomes naturally occurring sex hormones gonads or internal or external genitalia present at birth
323,The term gender affirming care means with respect to an individual any of the following:(i
324,The term gender identity means the gender related identity appearance or mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(3 lgbtqi.--the term   lgbtqi means lesbian gay bisexual transgender queer or intersex.(4
325,The term orientation means actual or perceived homosexuality heterosexuality or bisexuality
326,The term sex which includes sexual orientation gender identity pregnancy childbirth medical conditions related to pregnancy or childbirth or sex stereotypes or disability be excluded from participation in be denied the benefits of or be subjected to discrimination under any program or activity funded in whole or in part with funds made available under this title or with amounts appropriated for grants contracts or certificates similar to a child care certificate as defined in section 658p of the child care and development block grant act of 1990 42 u.s.c. 9858n administered with such funds.(b enforcement.--subsection a shall be enforced in the same manner and by the same means as if such subsection was incorporated in title vi of the civil rights act of 1964 42 u.s.c. 2000d et seq and as if a violation of subsection a was treated as if it was a violation of section 601 of such act 42 u.s.c. 2000d).(c
327,The term sex which includes sexual orientation gender identity pregnancy childbirth medical conditions related to pregnancy or childbirth or sex stereotypes or disability be excluded from participation in be denied the benefits of or be subjected to discrimination under any program or activity funded in whole or in part with funds made available under this title or with amounts appropriated for grants contracts or certificates similar to a child care certificate as defined in section 658p of the child care and development block grant act of 1990 42 u.s.c. 9858n administered with such funds.(b enforcement.--subsection a shall be enforced in the same manner and by the same means as if such subsection was incorporated in title vi of the civil rights act of 1964 42 u.s.c. 2000d et seq and as if a violation of subsection a was treated as if it was a violation of section 601 of such act 42 u.s.c. 2000d).(c
328,The term gender identity means a characteristic consisting of the gender related identity appearance mannerisms or other gender related characteristics of an individual whether the characteristic is actual or perceived regardless of the designated sex of the individual at birth;(f
329,The term orientation means a characteristic consisting of homosexuality heterosexuality or bisexuality whether the characteristic is actual or perceived (2
330,The term sex means the genetic classification of an individual as male or female as reflected in the organization of the body of such individual for a reproductive role or capacity such as through sex chromosomes naturally occurring sex hormones and internal and external genitalia present at birth without regard to the subjective sense of identity of the individual.(2 gender transition procedure.--(a
331,The term biological sex means the genetic classification of an individual as male or female as reflected in the organization of the body of such individual for a reproductive role or capacity such as through sex chromosomes naturally occurring sex hormones and internal and external genitalia present at birth without regard to the subjective sense of identity of the individual.(2 gender transition procedure.--(a
